HS2,2024_imports,2024_duty,CTY_NAME,CTY_CODE,2025_tariff_increase,2024_tariff
01,2900.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
03,12836159.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
07,433790.0,46.0,TRINIDAD AND TOBAGO,2740,15.0,0.01060420941008322
08,40250.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
09,1344967.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
12,10540.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
13,34588.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
15,165356.0,222.0,TRINIDAD AND TOBAGO,2740,15.0,0.13425578751300227
17,1468997.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
18,716626.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
19,5442631.0,1173.0,TRINIDAD AND TOBAGO,2740,15.0,0.021552076560031354
20,809200.0,691.0,TRINIDAD AND TOBAGO,2740,15.0,0.08539298072170044
21,31566447.0,327.0,TRINIDAD AND TOBAGO,2740,15.0,0.0010359100598176286
22,5555180.0,46.0,TRINIDAD AND TOBAGO,2740,15.0,0.0008280559765840172
25,9378314.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
27,1665807336.0,301158.0,TRINIDAD AND TOBAGO,2740,2.003450706978997,0.018078801401076313
28,394233640.0,1901.0,TRINIDAD AND TOBAGO,2740,14.99830349332949,0.00048220136668195035
29,216314635.0,45053.0,TRINIDAD AND TOBAGO,2740,15.0,0.020827532080758198
30,24664.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
31,173934107.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
33,97876.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
34,29699.0,623.0,TRINIDAD AND TOBAGO,2740,15.0,2.097713727734941
35,21887.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
39,9043162.0,62234.0,TRINIDAD AND TOBAGO,2740,15.0,0.6881884898224758
40,862.0,10.0,TRINIDAD AND TOBAGO,2740,15.0,1.160092807424594
42,2710.0,542.0,TRINIDAD AND TOBAGO,2740,15.0,20.0
44,498938.0,0.0,TRINIDAD AND TOBAGO,2740,0.0,0.0
48,5114443.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
49,9528.0,0.0,TRINIDAD AND TOBAGO,2740,9.238035264483628,0.0
61,661.0,71.0,TRINIDAD AND TOBAGO,2740,15.0,10.741301059001513
62,1600.0,158.0,TRINIDAD AND TOBAGO,2740,15.0,9.875
63,6552.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
64,51016.0,7613.0,TRINIDAD AND TOBAGO,2740,15.0,14.922769327269878
65,400.0,30.0,TRINIDAD AND TOBAGO,2740,15.0,7.5
70,2944.0,144.0,TRINIDAD AND TOBAGO,2740,15.0,4.891304347826087
71,8466417.0,4368.0,TRINIDAD AND TOBAGO,2740,15.0,0.05159207253788705
72,623878244.0,0.0,TRINIDAD AND TOBAGO,2740,14.99864223507047,0.0
73,167785.0,226.0,TRINIDAD AND TOBAGO,2740,47.5009685013559,0.134696188574664
74,254623.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
75,112115.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
76,504666.0,7920.0,TRINIDAD AND TOBAGO,2740,15.866909995918093,1.5693547811820097
79,138816.0,0.0,TRINIDAD AND TOBAGO,2740,0.0,0.0
82,164236.0,4500.0,TRINIDAD AND TOBAGO,2740,15.0,2.739959570374339
84,3354863.0,11271.0,TRINIDAD AND TOBAGO,2740,17.06777594196842,0.33596006751989577
85,637937.0,4309.0,TRINIDAD AND TOBAGO,2740,7.552799100851652,0.6754585484146554
86,6000.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
87,7897.0,75.0,TRINIDAD AND TOBAGO,2740,21.201089021147272,0.9497277447131823
89,17465.0,262.0,TRINIDAD AND TOBAGO,2740,15.0,1.5001431434297166
90,3277548.0,287.0,TRINIDAD AND TOBAGO,2740,15.0,0.008756546052109687
92,252753.0,6432.0,TRINIDAD AND TOBAGO,2740,15.0,2.544776916594462
94,45669.0,16.0,TRINIDAD AND TOBAGO,2740,15.0,0.035034706255884736
95,9313.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
97,18401981.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
98,50218554.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
99,2991145.0,0.0,TRINIDAD AND TOBAGO,2740,15.0,0.0
